Hole Depth,Rate Of Penetration,Bit Depth,Time Of Penetration,Hook Load,Standpipe Pressure,Mud G/L Alarm State,Rotary RPM,Rotary Torque,Weight on Bit,On Bottom ROP,Total Mud Volume,Trip Tank Mud Volume,Line Wear,Pump 1 total strokes,Pump 2 total strokes,Total Pump Output,TotalPumpDisplacement,Block Height,Min Convertible Torque,Pump 3 total strokes,On Bottom Hours,Circulating Hours,Tool Face,Inclination,Azimuth,H2S,Nitrogen Pressure In,Nitrogen Volume In,Hydrocarbon Flow,MWD Temperature,Total Gas Return,MWD General Variable 1,Condensate Out,MWD General Variable 3,MWD General Variable 4,MWD Vibration XY Gamma,MWD Vibration Z Gamma,Over Pull,Fill Strokes,Total Fill Strokes,Min Pressure,Min Hook Load,Min Torque,Min RPM,Min WOB,Surface Stick Slip Index,MWD DYNAMIC INC,MWD DYNAMIC AZI,Pump Total Strokes Rate,Magnetic Toolface,Gravity Toolface,Cement Fluid Temp,MWD Vibration XYZ,Nitrogen Volume Out,Trip Tank 1 Low Threshold,Trip Tank 1 High Threshold,MWD Vibration Count,Trip Tank 2 Low Threshold,Trip Tank 2 High Threshold,Sensor Depth,Bit RPM,PVT Total Mud Gain/Loss,MWD General Variable 2,Flow Data air (cmf),Flow Data pressure (psig),Flow Data temp (F),AutoDriller On Bottom ROP Setpoint,Drilling Activity,AutoDriller Off Bottom ROP Limit,Trip Speed,Pump 4 total strokes,Total Strokes P1+P2+P3+P4,AutoDriller Status,Autodriller Sensitivity,Convertible Torque,MWD Vibration XYZ Gamma,MWD General Variable 5,MWD General Variable 6,MWD General Variable 7,MWD General Variable 8,MWD General Variable 9,MWD General Variable 10,MWD General Variable 0,Relative MSE,Motor RPM,Differential Pressure,AutoDriller WOB,AutoDriller WOB SP,AutoDriller Brake Pos,AutoDriller Diff Press,AutoDriller Diff Press SP,TTS Weight on Bit,Min TTS Weight on Bit,AutoDriller Ticks Per Depth,P1 Rate,P2 Rate,PVT Mud Tanks Included,PVT Monitor Mud Gain/Loss,PVT Mud G/L Threshold,Trip Tank 1 Refill Status,Flow 1 G/L Threshold,Trip Tank Fill,Trip Tank Accum,YYYY/MM/DD,HH:MM:SS
59,4.86,59,12.34,5.5,235,0,20,3417.29,6.4,4.86,-999.25,-999.25,8978,0,0,0,0,34.2,1,0,0,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,178,2,763,6,3.1,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,20,-999.25,-999.25,1850,232,83,0,2,0,8.66,0,0,0,0,3.417,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,234.6,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:18:18
60,16.17,60,3.71,2.9,323,0,20,1014.58,6.2,16.17,-999.25,-999.25,8978,0,0,0,0,33.8,1,0,0,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,237,2,555,20,5.7,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,20,-999.25,-999.25,2407,351,84,0,1,0,8.66,0,0,0,0,1.015,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,323.2,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:18:47
61,29.55,61,2.03,4.6,327,0,20,1056.12,6.5,29.55,-999.25,-999.25,8978,0,0,0,0,32.8,1,0,0,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,323,2,593,20,4,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,20,-999.25,-999.25,2479,361,84,0,1,0,4.33,0,0,0,0,1.056,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,327.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:19:23
62,38.89,62,1.54,3.3,328,0,20,1131.79,6.1,38.89,-999.25,-999.25,8978,0,0,0,0,31.7,1,0,0,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,326,3,622,20,5.3,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,20,-999.25,-999.25,2473,361,83,0,1,0,4.33,0,0,0,0,1.132,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,328.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:19:47
63,49.37,63,1.22,3.3,328,0,20,947.821,6.4,49.37,-999.25,-999.25,8978,0,0,0,0,30.9,1,0,0,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,326,2,553,20,5.3,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,20,-999.25,-999.25,2475,362,84,0,1,0,4.33,0,0,0,0,0.948,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,328.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:20:12
64,62.24,64,0.96,3.5,327,0,282,981.203,6.1,62.24,-999.25,-999.25,8978,0,0,0,0,29.9,1,0,0,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,325,2,495,20,5.1,13.1,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,282,-999.25,-999.25,2480,362,84,0,1,0,4.33,0,0,0,0,0.981,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,327.2,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:20:40
65,78.71,65,0.76,13.1,326,0,4255,1797.93,6.2,78.71,-999.25,-999.25,8978,0,0,0,0,28.9,1,0,0.1,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,4.5,0,0,323,2,472,19,0,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,4255,-999.25,-999.25,2486,360,85,0,1,0,8.66,0,0,0,0,1.798,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,326,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:21:02
66,95.69,66,0.63,3.2,326,0,4115,960.432,5.9,95.69,-999.25,-999.25,8978,0,0,0,0,27.9,1,0,0.1,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,323,3,520,19,5.3,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,4115,-999.25,-999.25,2482,360,85,0,1,0,8.66,0,0,0,0,0.96,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,325.8,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:21:25
67,106.72,67,0.56,3.4,324,0,4070,885.509,5.9,106.72,-999.25,-999.25,8978,0,0,0,0,26.8,1,0,0.1,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,323,3,444,19,5.4,69.6,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,4070,-999.25,-999.25,2497,359,85,0,1,0,8.66,0,0,0,0,0.886,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,323.9,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:21:42
68,117.35,68,0.51,13.4,324,0,19,2740.77,6.5,117.35,-999.25,-999.25,8978,0,0,0,0,25.8,1,0,0.1,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,4.8,0,0,295,2,429,16,0,71.1,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,19,-999.25,-999.25,2641,359,86,0,1,0,8.66,0,0,0,0,2.741,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,323.8,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:21:58
