Hole Depth,Rate Of Penetration,Bit Depth,Time Of Penetration,Hook Load,Standpipe Pressure,Mud G/L Alarm State,Rotary RPM,Rotary Torque,Weight on Bit,On Bottom ROP,Total Mud Volume,Trip Tank Mud Volume,Line Wear,Pump 1 total strokes,Pump 2 total strokes,Total Pump Output,TotalPumpDisplacement,Block Height,Pump 3 total strokes,On Bottom Hours,Circulating Hours,Tool Face,Inclination,Azimuth,H2S,Nitrogen Pressure In,Nitrogen Volume In,Hydrocarbon Flow,Nitrogen Volume Out,Total Gas Return,Condensate Out,Over Pull,Fill Strokes,Total Fill Strokes,Min Pressure,Min Hook Load,Min Torque,Min RPM,Min WOB,Surface Stick Slip Index,MWD DYNAMIC INC,MWD DYNAMIC AZI,Pump Total Strokes Rate,Magnetic Toolface,Gravity Toolface,Bit RPM,Trip Tank 1 Low Threshold,Trip Tank 1 High Threshold,Trip Tank 2 Low Threshold,Trip Tank 2 High Threshold,Sensor Depth,PVT Total Mud Gain/Loss,Differential Pressure,Flow Data air (cmf),Flow Data pressure (psig),Flow Data temp (F),TTS Weight on Bit,Drilling Activity,AutoDriller Off Bottom ROP Limit,Trip Speed,Pump 4 total strokes,Total Strokes P1+P2+P3+P4,AutoDriller Status,Autodriller Sensitivity,Convertible Torque,Min Convertible Torque,Motor RPM,AutoDriller WOB SP,AutoDriller Diff Press SP,AutoDriller On Bottom ROP Setpoint,Min TTS Weight on Bit,P1 Rate,P2 Rate,PVT Mud Tanks Included,PVT Monitor Mud Gain/Loss,PVT Mud G/L Threshold,Trip Tank 1 Refill Status,Flow 1 G/L Threshold,Trip Tank Fill,Trip Tank Accum,YYYY/MM/DD,HH:MM:SS,Memos,Extra1,Extra2,Extra3
59,14.89,59,4.03,5.2,158,0,0,102.904,4.4,14.89,-999.25,-999.25,8704,0,0,0,0,47.3,0,0,0.2,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,0,0,0,157,4,69,0,3.5,-999.25,0,0,0,234,26,0,0,0,0,0,0,-999.25,157.6,1510,185,74,0,0,0,8.66,0,0,0,0,0.103,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:10:22,HOLE DEPTH CHANGED TO 68.0 FEET,HOLE DEPTH CHANGED TO 58.0 FEET,BIT DEPTH CHANGED TO 40.1 FEET,ZWOB from SideKick sk-06-03-3887
60,21.96,60,2.73,4.4,158,0,0,211.208,4.5,21.96,-999.25,-999.25,8704,0,0,0,0,46,0,0,0.2,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,0,0,0,158,3,78,0,3.8,-999.25,0,0,0,234,26,0,0,0,0,0,0,-999.25,157.7,1540,185,74,0,0,0,12.98,0,0,0,0,0.211,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:10:27,,,,
61,40.25,61,1.49,12.5,176,0,151,1548.68,7.1,40.25,-999.25,-999.25,8704,0,0,0,0,45.2,0,0,0.2,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,3.8,0,0,158,2,110,0,0,-999.25,0,0,0,234,26,151,0,0,0,0,0,-999.25,175.8,1549,186,74,0,1,0,8.66,0,0,0,0,1.549,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:10:44,,,,
62,12.83,62,4.68,13.8,322,0,208,3487.77,6.2,12.83,-999.25,-999.25,8704,0,0,0,0,44.2,0,0,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,5.1,0,0,169,2,335,111,0,-999.25,0,0,0,234,26,208,0,0,0,0,0,-999.25,322.2,2407,346,77,0,1,0,8.66,0,0,0,0,3.488,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:25:18,,,,
63,24.96,63,2.4,13.8,323,0,199,2579.05,6.3,24.96,-999.25,-999.25,8704,0,0,0,0,43.1,0,0,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,5.1,0,0,296,2,341,171,5.2,-999.25,0,0,0,234,26,199,0,0,0,0,0,-999.25,322.6,2587,354,78,0,1,0,4.33,0,0,0,0,2.579,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:26:01,,,,
64,35.34,64,1.7,26.5,329,0,200,2038.28,6.9,35.34,-999.25,-999.25,8704,0,0,0,0,42,0,0,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,17.8,0,0,274,2,305,171,0,-999.25,0,0,0,234,26,200,0,0,0,0,0,-999.25,328.9,2699,359,77,0,1,0,8.66,0,0,0,0,2.038,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:26:36,,,,
65,49.36,65,1.22,3.7,333,0,200,588.045,6.1,49.36,-999.25,-999.25,8704,0,0,0,0,41.1,0,0.1,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,0,0,0,329,2,302,199,5.2,-999.25,0,0,0,234,26,200,0,0,0,0,0,-999.25,332.8,2585,365,78,0,1,0,4.33,0,0,0,0,0.588,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:27:17,,,,
66,63.12,66,0.95,12.2,336,0,200,672.611,6.2,63.12,-999.25,-999.25,8704,0,0,0,0,40.1,0,0.1,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,3.6,0,0,329,3,311,197,0,25.8,0,0,0,234,26,200,0,0,0,0,0,-999.25,336,2536,367,78,0,1,0,8.66,0,0,0,0,0.673,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:27:43,,,,
67,74.49,67,0.81,21.2,338,0,200,3222.2,5.7,74.49,-999.25,-999.25,8704,0,0,0,0,39.1,0,0.1,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,12.5,0,0,307,3,345,169,0,-999.25,0,0,0,234,26,200,0,0,0,0,0,-999.25,337.9,2607,371,79,0,1,0,8.66,0,0,0,0,3.222,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:28:03,,,,
68,81.44,68,0.74,13.7,325,0,200,733.439,5.6,81.44,-999.25,-999.25,8704,0,0,0,0,38.1,0,0.1,0.5,1234,2.9,154.06,1,1,0.9,0,0.5,1,0.84,5.1,0,0,306,5,326,169,0,-999.25,0,0,0,234,26,200,0,0,0,0,0,-999.25,325.3,2710,350,79,0,1,0,8.66,0,0,0,0,0.733,0,0,0,0,0,0,0,0,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,6/28/2015,7:28:15,,,,
